date,Temp,Pres,jO3_O2_O1D_CAFS,O3_M,H2O_M,CO_M,CH4_M,HO2_ATHOS,Altitude,[OH]_measured,[OH]_calc
2016-07-29 12:22:20-04:00,251.749,343.156,3.134683e-05,8.49165e-08,0.001386898,8.426964300000001e-08,1.868865e-06,17.756,8793.67,6005488.443429477,2372572.0902550314
2016-07-29 12:22:50-04:00,250.611,337.469,3.1421443333333304e-05,8.240969999999999e-08,0.001426958,8.419603300000002e-08,1.86873e-06,17.456,8917.53,5932780.053664784,2394590.2784416582
2016-07-29 12:25:20-04:00,246.186,310.058,3.15329433333333e-05,9.6456e-08,0.000649729,8.429860000000001e-08,1.851343298e-06,14.103,9535.17,4727486.122487568,1329689.3232924854
2016-07-29 12:25:50-04:00,245.486,305.978,3.134998e-05,7.866230000000002e-08,0.000624369,8.47343e-08,1.851343298e-06,13.048,9631.17,5211469.481361257,1036808.7019920319
2016-07-29 12:26:20-04:00,245.197,302.821,3.13643366666667e-05,7.89181e-08,0.000574359,8.40628e-08,1.851343298e-06,11.993,9706.29,6067662.896081252,966369.9393722382
2016-07-29 12:26:50-04:00,244.575,299.962,3.11977333333333e-05,8.29636e-08,0.00061105,8.37997e-08,1.838535e-06,13.421,9776.05,6025662.262398391,1083191.0264241763
2016-07-29 12:28:20-04:00,242.537,290.094,3.29550633333333e-05,8.14159e-08,0.000545782,8.43868e-08,1.838535e-06,12.236,10019.65,6231757.557027156,1010498.00898526
2016-07-29 12:28:50-04:00,241.82,287.086,3.36444533333333e-05,8.000450000000002e-08,0.0005295359999999,8.39489e-08,1.838535e-06,12.804,10095.58,6185425.7988035185,992180.5987831944
2016-07-29 12:29:20-04:00,241.008,283.892,3.36581466666667e-05,7.970539999999999e-08,0.000536263,8.383319999999999e-08,1.838535e-06,14.812,10176.23,6137217.286430807,1007288.2650997575
2016-07-29 12:29:50-04:00,240.743,281.027,3.29453966666667e-05,8.992389999999997e-08,0.000368141,8.62683e-08,1.838535e-06,14.443,10249.78,6572586.516127878,747967.3765606472
2016-07-29 12:31:50-04:00,239.777,275.04900000000004,3.3824386666666696e-05,8.5609e-08,0.000237178,8.45365e-08,1.838535e-06,10.183,10400.61,8179345.62748612,482583.84167610615
