,Temp,Pres,UTC_Start_dt,lat,lon,Altitude,jO3_O2_O1D_CAFS,O3_M,H2O_M,OH_ATHOS,HO2_ATHOS,CO_M,CH4_M,NOX_M,NO_CL,HNO3_M,date,kO1DH2O,kO1DM,M,O3,H2O,O1D,source,P_atm,kOHCO,kOHCH4,CO,CH4,[OH]_calc,[OH]_measured,residual,date_only
2990,256.831,611.136,2016-08-08 21:47:50-04:00,-44.59902,170.78398,4075.3,1.03664966666667e-05,3.11165e-08,0.000538248,0.031,4.511,6.692022200000003e-08,1.81246625e-06,3.1275e-11,0.005277,3.1029e-11,2016-08-08 21:47:50-04:00,2.058951089444044e-10,3.299480557460144e-11,1.7242940840982723e+19,536539968678.4389,9280978421777268.0,0.009743633062297913,37238.37396843228,0.603191232,2.0428721087999998e-13,2.4416738913050242e-15,1153901429011.431,31252248325027.8,119340.33565287484,534531.1660704644,415190.8304175896,2016-08-08
2991,254.3,588.059,2016-08-08 21:48:20-04:00,-44.5644,170.83658,4363.69,1.02068766666667e-05,3.02739e-08,0.000434062,0.031,3.905,6.2926e-08,1.80923125e-06,2.8194e-11,0.0072569999999999,3.0552e-11,2016-08-08 21:48:20-04:00,2.0637440142852416e-10,3.3135754762083327e-11,1.6756968546792272e+19,507298790088.73456,7273563281357747.0,0.00930019132620582,27920.611583870992,0.580414233,2.0223728096999997e-13,2.2793683306607843e-15,1054449002775.4506,30317231150123.668,98885.46622063893,519466.0249505604,420580.55872992147,2016-08-08
2992,251.84,565.44,2016-08-08 21:48:50-04:00,-44.53006,170.89215,4654.47,9.70408633333333e-06,2.97538e-08,0.000374386,0.031,3.302,6.333159999999999e-08,1.80945375e-06,5.1906e-11,0.001527,3.0085999999999994e-11,2016-08-08 21:48:50-04:00,2.068505819975486e-10,3.327605920453957e-11,1.6269819346997404e+19,484088950886.69135,6091192586044970.0,0.008656765672158697,21814.473498320356,0.55808928,2.002280352e-13,2.1291386523874772e-15,1030393690956.3007,29439485629247.004,81096.36990153542,504364.39975691953,423268.02985538414,2016-08-08
2993,249.215,543.531,2016-08-08 21:49:20-04:00,-44.49499,170.94916,4944.51,9.48477366666667e-06,3.02453e-08,0.000353952,0.057,3.377,6.4641706e-08,1.81047375e-06,3.4889e-11,0.002198,2.9633000000000005e-11,2016-08-08 21:49:20-04:00,2.0737031878073397e-10,3.3429504791389663e-11,1.5804146759956695e+19,478001159998.9182,5593909353980192.0,0.008562536118536135,19865.268162939046,0.536465097,1.9828185873e-13,1.9767994152314327e-15,1021607008437.9731,28612992850049.145,76661.90603277007,900836.3653175315,824174.4592847615,2016-08-08
2994,247.065,522.134,2016-08-08 21:49:50-04:00,-44.45901,171.00671,5236.34,9.50852866666667e-06,2.90783e-08,0.000124299,0.053,2.94,6.3349028e-08,1.8087275e-06,1.7282000000000002e-11,0.004961,2.9192e-11,2016-08-08 21:49:50-04:00,2.0780523532137758e-10,3.355815485811395e-11,1.5314106450306308e+19,445308181593.9419,1903528117666623.8,0.008232848199416158,6513.222050029112,0.515346258,1.9638116322e-13,1.8579971428224508e-15,970133758315.4349,27699045474596.402,26916.282517099757,811647.6418662342,784731.3593491345,2016-08-08
2995,244.627,501.354,2016-08-08 21:50:20-04:00,-44.4228,171.06507,5527.89,9.625999e-06,2.92433e-08,7.8975e-05,0.053,3.273,6.857767900000002e-08,1.80912625e-06,1.7302e-11,0.00239,2.8763e-11,2016-08-08 21:50:20-04:00,2.0830879562695895e-10,3.37073905593488e-11,1.4851181594836218e+19,434297558732.2739,1172872066452190.2,0.008347091018657535,4078.7153365781232,0.494836398,1.9453527581999998e-13,1.7296144781080945e-15,1018459564181.3865,26867662466735.066,16675.2460826376,787112.6245263194,770437.3784436819,2016-08-08
2996,243.161,481.083,2016-08-08 21:50:50-04:00,-44.38632,171.12394,5822.66,9.70383333333333e-06,3.5342800000000003e-08,0.000176874,0.045,3.605,7.1373929e-08,1.8179575e-06,2.8639e-11,0.005582,2.8344e-11,2016-08-08 21:50:50-04:00,2.086170545514381e-10,3.3798895026434855e-11,1.4336627566312747e+19,506696560750.6782,2535776664164000.5,0.010136030534570822,10724.047181881904,0.474828921,1.9273460288999999e-13,1.6555826063848046e-15,1023261438017.4487,26063379608885.004,44615.12659742132,645148.2404840735,600533.1138866522,2016-08-08
2997,241.124,461.632,2016-08-08 21:51:20-04:00,-44.3497,171.1829,6115.51,9.90164166666667e-06,3.38655e-08,0.000120215,0.045,3.773,7.0011012e-08,1.8127375e-06,1.8188e-11,0.005185,2.7943e-11,2016-08-08 21:51:20-04:00,2.0905237639204511e-10,3.392830924021247e-11,1.387319147115117e+19,469822565766.26996,1667765712704437.8,0.009875996105389645,6886.5396988004095,0.455630784,1.9100677055999999e-13,1.5565715242626108e-15,971276174565.0621,25148454424435.89,30652.386631384903,624293.6162018026,593641.2295704177,2016-08-08
2998,239.443,448.826,2016-08-08 21:51:50-04:00,-44.31302,171.24182,6314.13,9.999693e-06,3.3048e-08,0.000192456,0.045,4.638999999999999,6.776378e-08,1.81050625e-06,5.472000000000001e-12,0.002627,2.7678e-11,2016-08-08 21:51:50-04:00,2.09417896173069e-10,3.403714601842717e-11,1.3583033619026571e+19,448892095041.5901,2614136318183378.0,0.009697611079983563,10617.854790584588,0.44299126200000005,1.8986921358e-13,1.4781710478232805e-15,920437701892.3204,24592167261207.727,50294.36283374423,611236.5128561957,560942.1500224514,2016-08-08
2999,239.002,446.29,2016-08-08 21:52:20-04:00,-44.27686,171.29994,6353.22,9.92335066666667e-06,3.43245e-08,0.000164947,0.039,3.969,6.7399188e-08,1.811744667e-06,1.5634e-11,0.005614,2.7626e-11,2016-08-08 21:52:20-04:00,2.0951474633634931e-10,3.406601056997891e-11,1.353120688214482e+19,464451910626.1798,2231931981589141.5,0.009988515029592387,9341.71199436058,0.44048823000000004,1.8964394070000001e-13,1.4580897798814658e-15,911992356516.5725,24515091906799.574,44761.64562859951,527717.0684036479,482955.42277504836,2016-08-08
3000,239.027,446.446,2016-08-08 21:52:50-04:00,-44.24033,171.35813000000005,6351.31,9.943438333333327e-06,3.40895e-08,0.000136011,0.039,3.306,6.7816762e-08,1.811744667e-06,1.8266e-11,0.010648,2.7629e-11,2016-08-08 21:52:50-04:00,2.095092452095302e-10,3.406437075434802e-11,1.3534520962188313e+19,461385052340.5185,1840843730588194.8,0.009942456522117714,7669.089589563519,0.44064220200000004,1.8965779817999999e-13,1.4592228135607566e-15,917867386876.7358,24521096173644.387,36543.41007105552,527846.3175253442,491302.9074542887,2016-08-08
3001,239.062,446.472,2016-08-08 21:53:20-04:00,-44.20382,171.41653,6350.94,9.995308333333327e-06,3.3848e-08,0.0001308139999999,0.026,3.953,6.7703361e-08,1.811744667e-06,3.4483000000000006e-11,0.007945,2.763e-11,2016-08-08 21:53:20-04:00,2.0950154580749507e-10,3.406207572120917e-11,1.3533327537735342e+19,458076070497.26587,1770348708519957.5,0.009924504040906355,7361.814309085544,0.440667864,1.8966010776000002e-13,1.4608101413039791e-15,916251759818.5369,24518933993256.25,35124.17958990504,351866.5159811189,316742.3363912139,2016-08-08
3002,239.085,446.505,2016-08-08 21:53:50-04:00,-44.16729,171.47513999999995,6350.71,9.95978966666667e-06,3.35715e-08,0.000130162,0.026,4.397,6.758996000000001e-08,1.811744667e-06,2.1464e-11,0.00792375,2.763e-11,2016-08-08 21:53:50-04:00,2.0949648758187355e-10,3.4060568006606506e-11,1.3533025820360413e+19,454323976328.22955,1761485706829752.0,0.009808926386632272,7239.479463604514,0.440700435,1.8966303914999998e-13,1.4618539290686158e-15,914696673877.1277,24518387358411.28,34584.63751590271,351858.67132937076,317274.03381346806,2016-08-08
3003,239.056,446.442,2016-08-08 21:54:20-04:00,-44.13053,171.53361999999996,6351.62,9.98338733333333e-06,3.3663800000000005e-08,0.000144772,0.031,3.347,6.7476559e-08,1.811744667e-06,1.5050999999999998e-11,0.006291,2.7629e-11,2016-08-08 21:54:20-04:00,2.0950286552477576e-10,3.406246909675314e-11,1.3532757832983646e+19,455564053137.99493,1959164416996708.2,0.009857763573204743,8092.249146010826,0.440638254,1.8965744286e-13,1.460537938421174e-15,913143932350.0332,24517901833710.598,38720.0312901233,419515.492822493,380795.4615323697,2016-08-08
3004,239.383,448.731,2016-08-08 21:54:50-04:00,-44.09392,171.5918,6321.2,9.960233e-06,3.3176e-08,0.000141924,0.022,2.303,6.7363158e-08,1.811744667e-06,3.6414e-11,0.00648,2.7676e-11,2016-08-08 21:54:50-04:00,2.0943104946566003e-10,3.404106548194707e-11,1.3583562379297937e+19,450648265495.5884,1927833507119480.5,0.009698651011511487,7831.625671733755,0.44289749700000003,1.8986077472999998e-13,1.4754271025581952e-15,915031658759.5028,24609946699554.87,37286.5660898047,298838.3723445546,261551.80625474988,2016-08-08
3005,241.335,465.45,2016-08-08 21:55:20-04:00,-44.05874,171.64805,6059.92,9.837471333333327e-06,3.30271e-08,9.5838e-05,0.022,3.659,6.7249757e-08,1.811744667e-06,4.2226999999999986e-11,0.007225,2.8021e-11,2016-08-08 21:55:20-04:00,2.0900690054227557e-10,3.3914779483080775e-11,1.3975702185578228e+19,461576913653.31067,1339403346061446.2,0.009574332278003068,5360.564127822156,0.45939915,1.913459235e-13,1.5666220195864255e-15,939862575884.5048,25320403902301.6,24420.995206334355,307465.448082721,283044.45287638664,2016-08-08
3006,243.43,486.479,2016-08-08 21:55:50-04:00,-44.02405,171.70293,5747.28,9.62434466666667e-06,3.34668e-08,0.000127071,0.022,3.952,6.713635499999999e-08,1.811744667e-06,6.1559e-11,0.009311,2.8455e-11,2016-08-08 21:55:50-04:00,2.0856017893562633e-10,3.378200342203284e-11,1.4481412089420104e+19,484646522114.2047,1840167515614702.0,0.00952707061555301,7312.706288690304,0.480154773,1.9321392956999998e-13,1.6689912935378947e-15,972229222936.5997,26236621123636.203,31569.692181949147,318591.06596724223,287021.3737852931,2016-08-08
3007,246.343,519.415,2016-08-08 21:56:20-04:00,-43.98913,171.75832,5278.28,9.42012533333333e-06,3.0588900000000005e-08,0.000309342,0.038,4.141,6.7022954e-08,1.810261446e-06,4.8025e-11,0.010627,2.9135000000000005e-11,2016-08-08 21:56:20-04:00,2.0795319659040864e-10,3.360197359871606e-11,1.5279008583942726e+19,467368065673.3657,4726439073374011.0,0.008559041311213352,16824.98875976796,0.5126626049999999,1.9613963444999997e-13,1.81928342960306e-15,1024044289487.1984,27659000172614.57,66985.0627353481,580602.3261898236,513617.26345447544,2016-08-08
3008,250.192,553.14,2016-08-08 21:56:50-04:00,-43.95333,171.81433,4823.4,9.23107166666667e-06,3.0389571e-08,0.000464289,0.038,4.328,6.6909553e-08,1.810261446e-06,3.643e-11,0.00954,2.9832e-11,2016-08-08 21:56:50-04:00,2.0717545071400855e-10,3.3371934905213906e-11,1.6020739550286248e+19,486863402035.932,7438253145062852.0,0.008381954908617663,25833.578106057565,0.54594918,1.991354262e-13,2.0325515378662196e-15,1071940522039.0739,29001727144290.574,94833.84721399522,608788.1029108773,513954.2556968821,2016-08-08
3009,253.942,587.799,2016-08-08 21:57:20-04:00,-43.91556,171.86857,4375.99,9.058013e-06,3.08559e-08,0.000512108,0.017,5.012,6.6796152e-08,1.810261446e-06,7.1953e-11,0.003839,3.0546999999999994e-11,2016-08-08 21:57:20-04:00,2.0644305789345186e-10,3.3155967451773206e-11,1.6773172785432343e+19,517551342150.02185,8589675968802187.0,0.008402854910477818,29801.2118571075,0.580157613,2.0221418517e-13,2.2570490602015966e-15,1120383398898.002,30363828020564.598,100990.22411384755,285143.9373523498,184153.71323850227,2016-08-08
3010,257.559,618.356,2016-08-08 21:57:50-04:00,-43.8768,171.92068,3997.85,8.83872333333333e-06,3.02202e-08,0.000523981,0.017,4.475,6.6682751e-08,1.808417359e-06,5.3691e-11,0.004988,3.1178e-11,2016-08-08 21:57:50-04:00,2.057591959106292e-10,3.2954886302502945e-11,1.7397336453822792e+19,525750987101.8155,9115873752410520.0,0.008078831588691344,30306.52251021183,0.610317372,2.0492856347999998e-13,2.4898400511982224e-15,1160102254813.4883,31461645243456.64,95884.70186729713,295754.71971498744,199870.01784769032,2016-08-08
3011,260.308,650.215,2016-08-08 21:58:20-04:00,-43.83883,171.97211,3617.5,8.60236033333333e-06,2.87182e-08,0.000475468,0.004,4.565,6.656935e-08,1.808417359e-06,9.2887e-11,0.004957,3.1836e-11,2016-08-08 21:58:20-04:00,2.0525361939416003e-10,3.280658533956518e-11,1.8100492103779848e+19,519813552334.77045,8606204779599997.0,0.007507992238181731,26525.056056987025,0.641762205,2.0775859845e-13,2.6778063567366985e-15,1204937994028.757,32733244126917.91,78478.93097210221,72401.9684151194,6076.96255698282,2016-08-08
